ISO3,Country,Latitude,Longitude,Planned/ managed camp,Collective center,Individual accommodation (private),Self-settled camp,Reception/ transit camp,Undefined/ unknown,Total,,,,,
SAU,Saudi Arabia,23.885942,45.079162, 	-   , 	-   , 	559 , 	-   , 	-   , 	-   , 	559 ,,,,,
SEN,Senegal,14.497401,-14.452362, 	-   , 	-   ," 	14,247 ", 	-   , 	-   , 	-   ," 	14,247 ",,,,,
SRB,Serbia (and Kosovo: S/RES/1244 (1999)),44.016521,21.005859, 	-   , 	41 ," 	57,042 ", 	-   , 	-   , 	-   ," 	57,083 ",,,,,
SLE,Sierra Leone,8.460555,-11.779889, 	-   , 	-   ," 	2,817 ", 	-   , 	-   , 	-   ," 	2,817 ",,,,,
SIN,Singapore,1.352083,103.819836, 	-   , 	-   , 	3 , 	-   , 	-   , 	-   , 	3 ,,,,,
SXM,Sint Maarten (Dutch part),18.04248,-63.05483, 	-   , 	-   , 	3 , 	-   , 	-   , 	-   , 	3 ,,,,,
SVK,Slovakia,48.669026,19.699024, 	-   , 	-   , 	-   , 	-   , 	-   , 	701 , 	701 ,,,,,
SVN,Slovenia,46.151241,14.995463, 	-   , 	-   , 	-   , 	-   , 	-   , 	213 , 	213 ,,,,,
SOM,Somalia,5.152149,46.199616, 	-   , 	-   ," 	2,425 ", 	-   , 	-   , 	-   ," 	2,425 ",,,,,
RSA,South Africa,-30.559482,22.937506, 	-   , 	-   ," 	65,987 ", 	-   , 	-   , 	-   ," 	65,987 ",,,,,
SSD,South Sudan,6.876992,31.306979," 	147,865 ", 	-   ," 	7,957 "," 	73,765 ", 	-   , 	-   ," 	229,587 ",,,,,
SPA,Spain,40.463667,-3.74922, 	-   , 	-   , 	-   , 	-   , 	-   ," 	4,637 "," 	4,637 ",,,,,
LKA,Sri Lanka,7.873054,80.771797, 	-   , 	-   , 	145 , 	-   , 	-   , 	-   , 	145 ,,,,,
GAZ,State of Palestine,31.952162,34.2187638, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
SUD,Sudan,12.862807,30.217636," 	87,055 ", 	-   ," 	35,200 "," 	37,602 ", 	-   , 	-   ," 	159,857 ",,,,,
SUR,Suriname,3.919305,-56.027783, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
